Group PAC ID,Measure Performance Rate,Year,State,Total Claim Count,Opioid Claim Count,Opioid Prescribing Rate
42105678,67.625,2016,PA,612.0,25.0,4.084967320261438
42122244,64.25,2016,CA,8843.0,457.0,5.167929435711862
42128548,66.25,2016,TX,11588.0,1448.0,12.495685191577493
143134270,59.25,2016,AR,18320.0,466.0,2.5436681222707422
244124212,67.875,2016,PA,40135.0,2106.0,5.2472903949171545
244136067,66.125,2016,MI,7725.0,85.0,1.1003236245954693
244143824,66.75,2016,SD,292.0,23.0,7.876712328767123
345349478,63.5,2016,FL,238.0,32.0,13.445378151260504
345406294,63.75,2016,CA,2809.0,167.0,5.9451762192951225
446157291,71.16666666666667,2016,MI,295.0,0.0,0.0
446168215,65.375,2016,KS,6964.0,387.0,5.557151062607697
446303168,70.625,2016,MS,6236.0,319.0,5.115458627325208
547178311,63.25,2016,MI,261.0,87.0,33.333333333333336
648177733,69.375,2016,FL,15730.0,477.0,3.032422123331214
648183608,65.75,2016,OR,3507.0,93.0,2.6518391787852864
749186153,64.0,2016,FL,1339.0,33.0,2.4645257654966395
749188894,56.6,2016,NC,9781.0,806.0,8.240466209998978
749192433,64.5,2016,OK,18930.0,77.0,0.40676175382989965
749222651,66.75,2016,OH,4218.0,80.0,1.896633475580844
840104360,66.0,2016,OH,3630.0,199.0,5.482093663911845
840107835,65.625,2016,KY,7696.0,140.0,1.819126819126819
840109864,70.125,2016,NC,20610.0,654.0,3.173216885007278
840450748,65.25,2016,NY,8531.0,395.0,4.630172312741765
941333280,65.875,2016,TX,9373.0,313.0,3.3393790675344075
941525273,69.625,2016,UT,179.0,69.0,38.547486033519554
1052612314,62.5,2016,IN,13321.0,809.0,6.073117633811275
1153216411,66.5,2016,MS,3711.0,1182.0,31.85125303152789
1153227814,54.66666666666666,2016,CA,13329.0,2274.0,17.060544677020033
1153231907,70.875,2016,NC,5638.0,68.0,1.2061014544164597
1153234893,69.625,2016,NC,30960.0,263.0,0.849483204134367
1153235296,66.0,2016,MT,5047.0,94.0,1.8624925698434713
1254248917,60.0,2016,MO,16897.0,394.0,2.3317748712789252
1355232422,66.875,2016,NY,55326.0,1667.0,3.013049922278856
1355249541,64.625,2016,TX,68409.0,4878.0,7.130640705170372
1658289624,64.5,2016,WI,2609.0,93.0,3.564584131851284
1658427042,68.5,2016,MI,392.0,20.0,5.1020408163265305
1759293954,65.0,2016,MN,29508.0,2933.0,9.939677375626948
1759294838,61.28571428571429,2016,OK,22813.0,884.0,3.8749835620041204
1759294887,68.375,2016,WI,15.0,12.0,80.0
1759416662,67.75,2016,IN,13315.0,132.0,0.9913631242959069
1850209420,66.25,2016,UT,5447.0,212.0,3.8920506700936297
1951213057,67.125,2016,MN,58895.0,1565.0,2.657271415230495
1951213107,66.0,2016,AL,38045.0,3112.0,8.179787094230516
2062315161,63.875,2016,ME,39176.0,1492.0,3.8084541556054727
2062317233,66.25,2016,PA,2450.0,1329.0,54.244897959183675
2062318975,66.0,2016,PA,107965.0,3921.0,3.6317325059046914
2163326240,66.875,2016,KY,4694.0,172.0,3.664252236898168
2163334699,66.75,2016,IL,12199.0,610.0,5.000409869661448
2163667288,63.0,2016,FL,20389.0,82.0,0.4021776448084752
2264336460,65.375,2016,PA,711.0,13.0,1.8284106891701828
2264344480,66.75,2016,OH,10153.0,179.0,1.7630257066876784
2466524012,68.28571428571429,2016,MS,553.0,41.0,7.414104882459313
