Year,State,Year,Month,Total Deaths,Drug Deaths
2016,AK,2016,January,4213,126
2016,AK,2016,February,4198,128
2016,AK,2016,March,4230,125
2016,AK,2016,April,4262,132
2016,AK,2016,May,4241,140
2016,AK,2016,June,4261,138
2016,AK,2016,July,4269,143
2016,AK,2016,August,4276,138
2016,AK,2016,September,4256,131
2016,AK,2016,October,4291,131
2016,AK,2016,November,4289,133
2016,AK,2016,December,4355,129
2016,AL,2016,January,50534,706
2016,AL,2016,February,50555,710
2016,AL,2016,March,50348,681
2016,AL,2016,April,50391,676
2016,AL,2016,May,50511,654
2016,AL,2016,June,50613,674
2016,AL,2016,July,50683,681
2016,AL,2016,August,50756,685
2016,AL,2016,September,50810,695
2016,AL,2016,October,50869,704
2016,AL,2016,November,51110,718
2016,AL,2016,December,51431,740
2016,AR,2016,January,30624,378
2016,AR,2016,February,30413,379
2016,AR,2016,March,30421,363
2016,AR,2016,April,30489,372
2016,AR,2016,May,30361,376
2016,AR,2016,June,30434,369
2016,AR,2016,July,30590,378
2016,AR,2016,August,30488,383
2016,AR,2016,September,30540,379
2016,AR,2016,October,30489,372
2016,AR,2016,November,30697,378
2016,AR,2016,December,31028,386
2016,AZ,2016,January,54917,1298
2016,AZ,2016,February,55755,1307
2016,AZ,2016,March,56319,1313
2016,AZ,2016,April,56436,1335
2016,AZ,2016,May,56522,1350
2016,AZ,2016,June,56648,1370
2016,AZ,2016,July,56865,1421
2016,AZ,2016,August,56960,1410
2016,AZ,2016,September,57051,1404
2016,AZ,2016,October,57277,1405
2016,AZ,2016,November,57252,1397
2016,AZ,2016,December,57215,1393
2016,CA,2016,January,259303,4745
2016,CA,2016,February,260508,4745
2016,CA,2016,March,261416,4768
2016,CA,2016,April,261595,4795
2016,CA,2016,May,261557,4811
2016,CA,2016,June,261467,4844
2016,CA,2016,July,261603,4816
2016,CA,2016,August,261781,4791
2016,CA,2016,September,262041,4716
2016,CA,2016,October,262751,4659
2016,CA,2016,November,262360,4709
2016,CA,2016,December,263199,4755
2016,CO,2016,January,36752,913
2016,CO,2016,February,36987,912
2016,CO,2016,March,37387,908
2016,CO,2016,April,37351,894
2016,CO,2016,May,37535,915
2016,CO,2016,June,37504,935
2016,CO,2016,July,37620,928
2016,CO,2016,August,37650,934
2016,CO,2016,September,37834,933
2016,CO,2016,October,38048,948
2016,CO,2016,November,38075,952
2016,CO,2016,December,38151,965
2016,CT,2016,January,30368,824
2016,CT,2016,February,30231,836
2016,CT,2016,March,30162,849
2016,CT,2016,April,30198,869
2016,CT,2016,May,30198,895
2016,CT,2016,June,30188,909
2016,CT,2016,July,30094,906
2016,CT,2016,August,30156,928
2016,CT,2016,September,30088,929
2016,CT,2016,October,30155,918
2016,CT,2016,November,30294,939
2016,CT,2016,December,30641,974
2016,DC,2016,January,5616,146
2016,DC,2016,February,5610,146
2016,DC,2016,March,5620,161
2016,DC,2016,April,5662,174
2016,DC,2016,May,5719,198
2016,DC,2016,June,5731,208
2016,DC,2016,July,5770,219
2016,DC,2016,August,5789,239
2016,DC,2016,September,5869,247
2016,DC,2016,October,5876,259
2016,DC,2016,November,5933,289
2016,DC,2016,December,6055,300
2016,DE,2016,January,8485,181
2016,DE,2016,February,8473,189
2016,DE,2016,March,8555,188
2016,DE,2016,April,8530,199
2016,DE,2016,May,8553,216
2016,DE,2016,June,8571,221
2016,DE,2016,July,8609,233
2016,DE,2016,August,8666,245
2016,DE,2016,September,8740,245
2016,DE,2016,October,8809,254
2016,DE,2016,November,8889,268
2016,DE,2016,December,8980,285
2016,FL,2016,January,193810,3324
2016,FL,2016,February,194386,3401
2016,FL,2016,March,195215,3596
2016,FL,2016,April,195883,3703
2016,FL,2016,May,196050,3759
2016,FL,2016,June,196273,3843
2016,FL,2016,July,196733,3973
2016,FL,2016,August,197300,4091
2016,FL,2016,September,197602,4279
2016,FL,2016,October,198220,4579
2016,FL,2016,November,199256,4836
2016,FL,2016,December,199964,4996
2016,GA,2016,January,80247,1299
2016,GA,2016,February,80280,1277
2016,GA,2016,March,80292,1278
2016,GA,2016,April,80405,1291
2016,GA,2016,May,80430,1268
2016,GA,2016,June,80535,1279
2016,GA,2016,July,80602,1270
2016,GA,2016,August,81003,1275
2016,GA,2016,September,81280,1289
2016,GA,2016,October,81277,1298
2016,GA,2016,November,81392,1344
2016,GA,2016,December,81783,1370
2016,HI,2016,January,11070,174
2016,HI,2016,February,11065,181
2016,HI,2016,March,11067,187
2016,HI,2016,April,11057,191
2016,HI,2016,May,10969,190
2016,HI,2016,June,10901,194
2016,HI,2016,July,10896,193
2016,HI,2016,August,10892,203
2016,HI,2016,September,10824,194
2016,HI,2016,October,10870,193
2016,HI,2016,November,10939,195
2016,HI,2016,December,11041,199
2016,IA,2016,January,29031,303
2016,IA,2016,February,29156,304
2016,IA,2016,March,28911,309
2016,IA,2016,April,28908,316
2016,IA,2016,May,28909,318
2016,IA,2016,June,28863,310
2016,IA,2016,July,28746,304
2016,IA,2016,August,28760,309
2016,IA,2016,September,28822,306
2016,IA,2016,October,28956,313
2016,IA,2016,November,29018,319
2016,IA,2016,December,29318,314
2016,ID,2016,January,12912,214
2016,ID,2016,February,12987,215
2016,ID,2016,March,13036,212
2016,ID,2016,April,13093,209
2016,ID,2016,May,13131,212
2016,ID,2016,June,13221,216
2016,ID,2016,July,13228,218
2016,ID,2016,August,13283,217
2016,ID,2016,September,13227,218
2016,ID,2016,October,13205,229
2016,ID,2016,November,13190,235
2016,ID,2016,December,13297,228
2016,IL,2016,January,103132,1893
2016,IL,2016,February,103656,1958
2016,IL,2016,March,103543,2025
2016,IL,2016,April,103291,2097
2016,IL,2016,May,103228,2129
2016,IL,2016,June,103275,2213
2016,IL,2016,July,103249,2261
2016,IL,2016,August,103292,2275
2016,IL,2016,September,103368,2319
2016,IL,2016,October,103256,2297
2016,IL,2016,November,103309,2333
2016,IL,2016,December,104091,2427
2016,IN,2016,January,62610,1228
2016,IN,2016,February,62863,1259
2016,IN,2016,March,62968,1264
2016,IN,2016,April,62811,1285
2016,IN,2016,May,62632,1321
2016,IN,2016,June,62648,1354
2016,IN,2016,July,62795,1383
2016,IN,2016,August,62933,1421
2016,IN,2016,September,62891,1434
2016,IN,2016,October,63185,1441
2016,IN,2016,November,63580,1469
2016,IN,2016,December,64051,1506
2016,KS,2016,January,25598,313
2016,KS,2016,February,25507,317
2016,KS,2016,March,25415,313
2016,KS,2016,April,25463,312
2016,KS,2016,May,25400,305
2016,KS,2016,June,25353,319
2016,KS,2016,July,25292,320
2016,KS,2016,August,25308,320
2016,KS,2016,September,25223,315
2016,KS,2016,October,25174,312
2016,KS,2016,November,25296,315
2016,KS,2016,December,25489,313
2016,KY,2016,January,45819,1253
2016,KY,2016,February,45854,1228
2016,KY,2016,March,46039,1253
2016,KY,2016,April,46307,1291
2016,KY,2016,May,46269,1320
2016,KY,2016,June,46456,1371
2016,KY,2016,July,46593,1376
2016,KY,2016,August,46769,1404
2016,KY,2016,September,47052,1411
2016,KY,2016,October,47070,1416
2016,KY,2016,November,47283,1395
2016,KY,2016,December,47606,1437
2016,LA,2016,January,43495,890
2016,LA,2016,February,43428,901
2016,LA,2016,March,43445,894
2016,LA,2016,April,43610,893
2016,LA,2016,May,43743,899
2016,LA,2016,June,43768,941
2016,LA,2016,July,43742,962
2016,LA,2016,August,43939,979
2016,LA,2016,September,44033,997
2016,LA,2016,October,44225,1021
2016,LA,2016,November,44340,1012
2016,LA,2016,December,44411,1004
2016,MA,2016,January,57874,1738
2016,MA,2016,February,57469,1788
2016,MA,2016,March,57250,1812
2016,MA,2016,April,57077,1889
2016,MA,2016,May,56934,1932
2016,MA,2016,June,56937,2001
2016,MA,2016,July,56793,2073
2016,MA,2016,August,56981,2089
2016,MA,2016,September,57129,2131
2016,MA,2016,October,57073,2143
2016,MA,2016,November,57362,2157
2016,MA,2016,December,57861,2198
2016,MD,2016,January,46615,1303
2016,MD,2016,February,46686,1336
2016,MD,2016,March,46689,1381
2016,MD,2016,April,46898,1479
2016,MD,2016,May,47054,1580
2016,MD,2016,June,47120,1683
2016,MD,2016,July,47315,1758
2016,MD,2016,August,47548,1848
2016,MD,2016,September,47868,1907
2016,MD,2016,October,48045,1945
2016,MD,2016,November,48351,1997
2016,MD,2016,December,48668,2074
2016,ME,2016,January,14129,270
2016,ME,2016,February,13952,271
2016,ME,2016,March,13897,279
2016,ME,2016,April,13868,290
2016,ME,2016,May,13964,303
2016,ME,2016,June,14059,327
2016,ME,2016,July,14044,334
2016,ME,2016,August,14005,345
2016,ME,2016,September,13937,342
2016,ME,2016,October,13923,337
2016,ME,2016,November,13983,341
2016,ME,2016,December,14069,357
2016,MI,2016,January,93137,1944
2016,MI,2016,February,93407,1963
2016,MI,2016,March,93268,1975
2016,MI,2016,April,93368,1927
2016,MI,2016,May,93535,1927
2016,MI,2016,June,93472,1926
2016,MI,2016,July,93394,1950
2016,MI,2016,August,93445,1977
2016,MI,2016,September,93753,2013
2016,MI,2016,October,93939,2108
2016,MI,2016,November,94283,2193
2016,MI,2016,December,94840,2342
2016,MN,2016,January,42576,607
2016,MN,2016,February,42746,631
2016,MN,2016,March,42655,626
2016,MN,2016,April,42590,627
2016,MN,2016,May,42526,631
2016,MN,2016,June,42535,649
2016,MN,2016,July,42556,645
2016,MN,2016,August,42560,649
2016,MN,2016,September,42690,647
2016,MN,2016,October,42767,638
2016,MN,2016,November,42946,654
2016,MN,2016,December,43134,664
2016,MO,2016,January,61427,1096
2016,MO,2016,February,61186,1121
2016,MO,2016,March,60919,1129
2016,MO,2016,April,61039,1150
2016,MO,2016,May,60964,1147
2016,MO,2016,June,61135,1157
2016,MO,2016,July,61118,1192
2016,MO,2016,August,61319,1236
2016,MO,2016,September,61271,1247
2016,MO,2016,October,61393,1288
2016,MO,2016,November,61411,1329
2016,MO,2016,December,61888,1386
2016,MS,2016,January,31049,338
2016,MS,2016,February,30918,335
2016,MS,2016,March,30894,334
2016,MS,2016,April,30800,322
2016,MS,2016,May,30752,323
2016,MS,2016,June,30689,320
2016,MS,2016,July,30590,319
