State,Year,Month,Total Deaths,Drug Deaths
AK,2015,January,4034,126
AK,2015,February,4084,127
AK,2015,March,4101,125
NM,2018,January,18147,489
AK,2015,April,4133,126
AK,2015,May,4196,125
NM,2018,February,18148,486
NM,2018,February,18150,486
NM,2018,March,18178,485
NM,2018,March,18178,484
NM,2018,March,18181,485
NM,2018,March,18181,484
NM,2018,April,18162,482
NM,2018,April,18162,481
NM,2018,April,18166,482
NM,2018,April,18166,481
AK,2015,June,4201,121
NM,2018,May,18028,478
NM,2018,May,18028,476
NM,2018,May,18035,478
NM,2018,May,18035,476
NM,2018,June,18143,498
NM,2018,June,18143,494
NM,2018,June,18151,498
NM,2018,June,18151,494
AK,2015,July,4220,117
AK,2015,August,4222,124
AK,2015,September,4242,125
AK,2015,October,4241,120
AK,2015,November,4219,115
AK,2015,December,4193,121
AK,2016,January,4213,126
AK,2016,February,4198,128
AK,2016,March,4230,125
AK,2016,April,4262,132
AK,2016,May,4241,140
AK,2016,June,4261,138
AK,2016,July,4269,143
AK,2016,August,4276,138
AK,2016,September,4256,131
AK,2016,October,4291,131
AK,2016,November,4289,133
AK,2016,December,4355,129
AK,2017,January,4374,126
AK,2017,February,4347,124
AK,2017,March,4359,126
AK,2017,April,4325,117
AK,2017,May,4277,120
AK,2017,June,4276,122
AK,2017,July,4236,128
AK,2017,August,4234,137
NM,2018,July,18164,488
NM,2018,July,18164,483
NM,2018,July,18178,488
NM,2018,July,18178,483
OK,2018,July,39951,697
OK,2018,July,39951,696
OK,2018,July,39956,697
OK,2018,July,39956,696
OR,2018,February,36152,535
OR,2018,March,36276,545
OR,2018,March,36277,545
OR,2018,April,36351,555
OR,2018,April,36351,554
OR,2018,April,36352,555
OR,2018,April,36352,554
OR,2018,May,36192,567
OR,2018,May,36192,566
OR,2018,June,36294,575
OR,2018,June,36294,574
OR,2018,July,36179,574
OR,2018,July,36179,571
AK,2017,September,4299,148
AK,2017,October,4283,144
AK,2017,November,4308,138
AK,2017,December,4279,141
AK,2018,January,4260,138
AK,2018,February,4304,138
AK,2018,February,4304,139
AK,2018,March,4286,135
AK,2018,March,4286,136
AK,2018,April,4341,141
AK,2018,April,4341,142
AK,2018,May,4351,125
AK,2018,May,4351,126
AK,2018,May,4352,125
AK,2018,May,4352,126
AK,2018,June,4307,124
AK,2018,June,4307,125
AK,2018,June,4309,124
AK,2018,June,4309,125
AK,2018,July,4333,115
AK,2018,July,4333,116
AK,2018,July,4337,115
AK,2018,July,4337,116
AL,2015,January,49543,715
AL,2015,February,50004,723
AL,2015,March,50486,733
AL,2015,April,50565,738
AL,2015,May,50516,755
AL,2015,June,50658,756
AL,2015,July,50841,743
AL,2015,August,50930,736
AL,2015,September,51044,744
AL,2015,October,51091,730
AL,2015,November,51093,725
AL,2015,December,50870,720
AL,2016,January,50534,706
AL,2016,February,50555,710
AL,2016,March,50348,681
AL,2016,April,50391,676
AL,2016,May,50511,654
AL,2016,June,50613,674
AL,2016,July,50683,681
AL,2016,August,50756,685
AL,2016,September,50810,695
AL,2016,October,50869,704
AL,2016,November,51110,718
AL,2016,December,51431,740
AL,2017,January,51652,763
AL,2017,February,51542,759
AL,2017,March,51668,794
AL,2017,April,51794,795
AL,2017,May,51943,812
AL,2017,June,52000,804
AL,2017,July,52035,809
AL,2017,August,52075,808
AL,2017,September,52232,800
AL,2017,October,52267,801
AL,2017,November,52254,799
AL,2017,December,52307,807
AL,2018,January,53105,786
AL,2018,January,53106,786
AL,2018,February,53272,797
AL,2018,February,53275,797
AL,2018,March,53222,782
AL,2018,March,53225,782
AL,2018,April,53239,780
AL,2018,April,53243,780
AL,2018,May,53273,783
AL,2018,May,53278,783
AL,2018,June,53353,760
AL,2018,June,53359,760
AL,2018,July,53445,753
AL,2018,July,53457,753
AR,2015,January,30122,366
AR,2015,February,30332,366
AR,2015,March,30387,385
AR,2015,April,30444,373
AR,2015,May,30602,383
AR,2015,June,30722,391
AR,2015,July,30685,395
AR,2015,August,30884,398
AR,2015,September,30931,392
AR,2015,October,31015,397
AR,2015,November,31007,389
AR,2015,December,30986,381
AR,2016,January,30624,378
AR,2016,February,30413,379
AR,2016,March,30421,363
AR,2016,April,30489,372
AR,2016,May,30361,376
AR,2016,June,30434,369
AR,2016,July,30590,378
AR,2016,August,30488,383
AR,2016,September,30540,379
AR,2016,October,30489,372
AR,2016,November,30697,378
AR,2016,December,31028,386
AR,2017,January,31113,384
AR,2017,February,31156,380
AR,2017,March,31309,384
AR,2017,April,31382,386
AR,2017,May,31496,383
AR,2017,June,31555,398
AR,2017,July,31550,395
AR,2017,August,31596,406
AR,2017,September,31718,413
AR,2017,October,31724,410
AR,2017,November,31654,411
AR,2017,December,31823,425
AR,2018,January,32294,427
AR,2018,February,32398,424
AR,2018,March,32198,429
AR,2018,March,32199,429
AR,2018,April,32053,423
AR,2018,April,32054,423
AR,2018,May,32109,440
AR,2018,May,32112,440
AR,2018,June,32067,442
AR,2018,June,32072,442
AR,2018,July,32029,445
AR,2018,July,32035,445
AZ,2015,January,52342,1193
AZ,2015,February,52371,1175
AZ,2015,March,52826,1174
AZ,2015,April,53025,1173
AZ,2015,May,53225,1184
AZ,2015,June,53462,1209
AZ,2015,July,53685,1201
AZ,2015,August,53907,1240
AZ,2015,September,54058,1241
