NPI,Provider Last Name,Provider First Name,Zip Code,State,Specialty,Total Claim Count,Opioid Claim Count,Opioid Prescribing Rate,PAC ID,Year
1003006503,JEGEDE,OLUGBEMIGA,48503.0,MI,Internal Medicine,2029.0,153.0,7.5406604238999995,1951572312.0,2016.0
1003046897,HARFOUCHE,KARIM,33467.0,FL,Internal Medicine,2873.0,131.0,4.5596937,1153577960.0,2016.0
1003047564,MURUKESAN,VIDHYA,68131.0,NE,Internal Medicine,1050.0,25.0,2.3809523809999997,6507015542.0,2016.0
1003048687,KOLLU,VIDYA,48532.0,MI,Internal Medicine,252.0,20.0,7.9365079365,9436300514.0,2016.0
1003070558,URAZOV,PETER,11772.0,NY,Family Practice,982.0,24.0,2.4439918534,2062695067.0,2016.0
1003071804,EVANS,SHANNON,96793.0,HI,Family Practice,698.0,45.0,6.446991403999999,9335318146.0,2016.0
1003074501,JONES,CHRISTOPHER,80538.0,CO,Internal Medicine,348.0,23.0,6.6091954023,3577758226.0,2016.0
1003091935,LOKESHWARI,MADAIAH,1608.0,MA,Internal Medicine,165.0,12.0,7.2727272727,446310064.0,2016.0
1003091976,RAMOS,DAVID,78225.0,TX,Family Practice,7075.0,260.0,3.6749116608,547453573.0,2016.0
1003098161,HAZIN,MOUSTAFA,85013.0,AZ,Internal Medicine,1609.0,56.0,3.4804226227,4789718867.0,2016.0
1003103128,THARIAN,DIMPLE,78414.0,TX,Family Practice,189.0,13.0,6.8783068783,8921232828.0,2016.0
1003109208,MANCUSO,ROBERTO,10306.0,NY,Physical Medicine and Rehabilitation,61.0,27.0,44.262295082,8628385143.0,2016.0
1003122003,SRA,MINI,46545.0,IN,Internal Medicine,361.0,40.0,11.08033241,2264668698.0,2016.0
1003158031,KONDRU,ANOKH,43130.0,OH,Internal Medicine,400.0,17.0,4.25,3779802731.0,2016.0
1003162173,HASSAN KAMEL,MOHAMED,77030.0,TX,Internal Medicine,315.0,21.0,6.666666666699999,8921321860.0,2016.0
1003163932,NNADI,AUGUSTINE,60657.0,IL,Internal Medicine,399.0,22.0,5.5137844612,3870814395.0,2016.0
1003174004,DAVIS,SUSAN,29303.0,SC,Family Practice,4338.0,198.0,4.5643153526999996,4688812100.0,2016.0
1003181405,REEDS,JULIE,98133.0,WA,Internal Medicine,135.0,14.0,10.37037037,7911211248.0,2016.0
1003187048,FLORES,TOMAS,32308.0,FL,Internal Medicine,684.0,54.0,7.8947368421,2264652494.0,2016.0
1003194382,AKTOLGA,SERDAL,27705.0,NC,Internal Medicine,166.0,12.0,7.2289156626999995,7416190707.0,2016.0
1003206392,HEGAZI,MOHAMED,40228.0,KY,Internal Medicine,116.0,24.0,20.689655172000002,4082924618.0,2016.0
1003255910,PATEL,MITESHKUMAR,30912.0,GA,Family Practice,1634.0,84.0,5.140758873899999,2769626324.0,2016.0
1003259870,NASSIRY,AKBAR,90806.0,CA,Internal Medicine,546.0,14.0,2.5641025641,4284859299.0,2016.0
1003802463,YASSA,HANY,88201.0,NM,Internal Medicine,294.0,17.0,5.782312925199999,3779500202.0,2016.0
1003802638,FULLER,STEPHEN,54913.0,WI,Family Practice,6638.0,136.0,2.0488098825,42209470.0,2016.0
1003809096,GOLDBERG,ROBERT,6357.0,CT,Internal Medicine,8696.0,371.0,4.2663293468,2163515958.0,2016.0
1003809187,HOM,DENISE,93063.0,CA,Family Practice,2643.0,20.0,0.7567158531999999,42355612.0,2016.0
1003810482,WEBER,ANDREA,80433.0,CO,Family Practice,3109.0,133.0,4.2779028626999995,6901889922.0,2016.0
1003810789,DISTEFANO,LISA,64468.0,MO,Internal Medicine,5789.0,277.0,4.7849369494,4183768427.0,2016.0
1003811829,BEE,HEIDI,16137.0,PA,Family Practice,2033.0,45.0,2.2134776193,6800854621.0,2016.0
1003814633,WORLEY,FRED,43068.0,OH,Internal Medicine,10595.0,362.0,3.4167059934,1759417041.0,2016.0
1003815010,TODORINOV,ALEXANDAR,44077.0,OH,Internal Medicine,230.0,15.0,6.521739130399999,3476501008.0,2016.0
1003819897,EMMER,ANTHONY,48034.0,MI,Neurology,4915.0,209.0,4.2522889115,8426007220.0,2016.0
1003820572,CARLTON,CHARLES,76104.0,TX,Internal Medicine,23290.0,635.0,2.7264920567,7416860820.0,2016.0
1003821844,MADHUNAPANTULA,SRIDHAR,24333.0,VA,Internal Medicine,319.0,15.0,4.7021943574,3577597582.0,2016.0
1003822198,HICKS,MARY,80111.0,CO,Internal Medicine,391.0,20.0,5.1150895141,2668436031.0,2016.0
1003825274,CARDONA,CARMEN,11220.0,NY,Internal Medicine,19315.0,157.0,0.8128397618000001,5092989236.0,2016.0
1003830290,SPONSEL,CHARLES,79763.0,TX,Family Practice,604.0,45.0,7.4503311258,8820085616.0,2016.0
1003830829,FRIEDMAN,LAWRIE,75080.0,TX,Family Practice,3524.0,27.0,0.7661748014,6103091152.0,2016.0
1003832775,SCHNEIDERMAN,MARC,15108.0,PA,Family Practice,13141.0,352.0,2.678639373,3375670797.0,2016.0
1003834433,NAIR,ANIL,2169.0,MA,Neurology,1096.0,14.0,1.2773722628,3971417627.0,2016.0
1003836446,UMORU,BENEDICTA,62208.0,IL,Internal Medicine,6472.0,30.0,0.46353522869999997,7012901457.0,2016.0
1003839655,AHMED,SHAMIM,11377.0,NY,Internal Medicine,7424.0,30.0,0.4040948276,3870538028.0,2016.0
1003844952,HUBBARD,FRANK,74023.0,OK,Family Practice,9512.0,964.0,10.134566863,1254384464.0,2016.0
1003845660,RAKHMANCHIK,EMMANUIL,11235.0,NY,Internal Medicine,18930.0,77.0,0.4067617538,8325022940.0,2016.0
1003846833,SOMERVELL,PAMELA,46601.0,IN,Family Practice,6894.0,284.0,4.119524224,8527133214.0,2016.0
1003848136,CRISTESCU,CORINA,10940.0,NY,Internal Medicine,188.0,28.0,14.893617020999999,4385647858.0,2016.0
1003848292,DIMARTINO,NICHOLAS,18951.0,PA,Family Practice,1300.0,65.0,5.0,9234204587.0,2016.0
1003853987,BEG,SIMIN,49315.0,MI,Internal Medicine,1485.0,205.0,13.804713805,8729082508.0,2016.0
1003879438,ADRIAN,MARK,92037.0,CA,Internal Medicine,2473.0,195.0,7.885159725,7517060080.0,2016.0
