PAC ID,Total Claim Count,Opioid Claim Count,Opioid Prescribing Rate,State
42100190.0,241.0,77.0,31.95,MI
42102618.0,491.0,226.0,46.03,CA
42104168.0,5891.0,216.0,3.67,MN
42115404.0,9227.0,30.0,0.33,KY
42120784.0,30441.0,988.0,3.25,GA
42123713.0,4353.0,114.0,2.62,MN
42200453.0,843.0,24.0,2.85,CA
42207656.0,10713.0,175.0,1.63,CA
42209470.0,6638.0,136.0,2.05,WI
42216442.0,269.0,18.0,6.69,UT
42223729.0,6277.0,150.0,2.39,FL
42230443.0,42824.0,537.0,1.25,PR
42232431.0,687.0,0.0,0.0,NY
42235319.0,5737.0,59.0,1.03,NJ
42238370.0,4448.0,19.0,0.43,CA
42238974.0,4072.0,109.0,2.68,LA
42239923.0,53286.0,4401.0,8.26,AL
42240442.0,3373.0,14.0,0.42,VA
42245136.0,123.0,15.0,12.2,TX
42245474.0,474.0,30.0,6.33,PA
42246480.0,2158.0,17.0,0.79,IL
42247611.0,3476.0,48.0,1.38,WI
42249039.0,247.0,37.0,14.98,FL
42250920.0,5120.0,406.0,7.93,MO
42252967.0,719.0,72.0,10.01,CA
42255234.0,194.0,38.0,19.59,CA
42258295.0,319.0,24.0,7.52,CA
42265829.0,6799.0,629.0,9.25,PA
42267924.0,11026.0,335.0,3.04,MA
42268468.0,10204.0,189.0,1.85,MA
42280786.0,109.0,0.0,0.0,CT
42284283.0,806.0,0.0,0.0,DC
42289050.0,1896.0,60.0,3.16,NY
42289936.0,1056.0,133.0,12.59,UT
42290454.0,5711.0,208.0,3.64,IL
42291387.0,15863.0,201.0,1.27,NY
42291833.0,25967.0,1216.0,4.68,PA
42293474.0,3709.0,274.0,7.39,IL
42296139.0,633.0,57.0,9.0,GA
42304933.0,990.0,20.0,2.02,CA
42309619.0,2104.0,26.0,1.24,NY
42311102.0,2284.0,134.0,5.87,ID
42311581.0,2070.0,70.0,3.38,NM
42313751.0,300.0,17.0,5.67,CA
42313983.0,1518.0,771.0,50.79,TX
42315202.0,5098.0,112.0,2.2,FL
42315814.0,6145.0,63.0,1.03,TX
42334104.0,4944.0,175.0,3.54,CA
42350241.0,768.0,0.0,0.0,CA
42351314.0,325.0,25.0,7.69,IL
42352130.0,15429.0,668.0,4.33,NC
42352478.0,2369.0,140.0,5.91,MD
42354201.0,340.0,18.0,5.29,VA
42355612.0,2643.0,20.0,0.76,CA
42357345.0,11803.0,1615.0,13.68,FL
42357634.0,3118.0,83.0,2.66,CA
42360570.0,1270.0,0.0,0.0,TX
42364499.0,10567.0,516.0,4.88,MI
42367419.0,5047.0,189.0,3.74,CA
42372849.0,680.0,14.0,2.06,TX
42377400.0,2390.0,96.0,4.02,CA
42380073.0,11299.0,659.0,5.83,TN
42380610.0,5408.0,3226.0,59.65,FL
42382038.0,9980.0,675.0,6.76,MI
42384125.0,7826.0,286.0,3.65,GA
42384604.0,181.0,74.0,40.88,FL
42386369.0,1894.0,232.0,12.25,NC
42387102.0,9153.0,404.0,4.41,PA
42388399.0,342.0,17.0,4.97,GA
42389256.0,18680.0,2707.0,14.49,GA
42390015.0,8762.0,146.0,1.67,OH
42393316.0,5339.0,422.0,7.9,MI
42397440.0,7701.0,198.0,2.57,IL
42403701.0,3643.0,50.0,1.37,IL
42407439.0,19665.0,807.0,4.1,TX
42408221.0,15634.0,473.0,3.03,FL
42408973.0,313.0,64.0,20.45,MI
42434672.0,249.0,31.0,12.45,FL
42436107.0,195.0,11.0,5.64,NY
42439986.0,1532.0,22.0,1.44,NV
42444085.0,60.0,0.0,0.0,FL
42446155.0,404.0,37.0,9.16,NV
42450579.0,5919.0,88.0,1.49,TX
42453649.0,455.0,37.0,8.13,TX
42461980.0,5375.0,374.0,6.96,OH
42463747.0,1010.0,24.0,2.38,OH
42466898.0,273.0,24.0,8.79,SD
42467334.0,442.0,23.0,5.2,VA
42468498.0,1055.0,84.0,7.96,FL
42481525.0,253.0,23.0,9.09,CA
42482747.0,1114.0,99.0,8.89,CO
42483620.0,6263.0,249.0,3.98,CA
42484719.0,1349.0,20.0,1.48,TX
42485799.0,917.0,40.0,4.36,OH
42486078.0,1897.0,11.0,0.58,FL
42521171.0,1757.0,42.0,2.39,TX
143110403.0,5462.0,46.0,0.84,HI
143113720.0,7031.0,122.0,1.74,MA
143114124.0,3083.0,0.0,0.0,WI
143115444.0,13444.0,86.0,0.64,NY
143118588.0,423.0,68.0,16.08,FL
143119073.0,4539.0,108.0,2.38,LA
143121228.0,29565.0,1027.0,3.47,GA
143122903.0,6351.0,298.0,4.69,PA
143133546.0,17903.0,845.0,4.72,TX
143211607.0,588.0,15.0,2.55,FL
143214494.0,180.0,16.0,8.89,WA
143216648.0,1318.0,42.0,3.19,IL
143226951.0,455.0,23.0,5.05,GA
143232173.0,844.0,11.0,1.3,NY
143234989.0,5405.0,272.0,5.03,NH
143235507.0,3925.0,43.0,1.1,FL
143239285.0,1094.0,51.0,4.66,WI
143239301.0,8951.0,440.0,4.92,SC
143240754.0,17381.0,159.0,0.91,NV
143243097.0,3932.0,131.0,3.33,CA
143249110.0,394.0,16.0,4.06,GA
143250977.0,6515.0,329.0,5.05,MA
143252825.0,1651.0,0.0,0.0,MA
143254011.0,11562.0,392.0,3.39,MA
143260422.0,12192.0,427.0,3.5,NJ
143261735.0,3570.0,35.0,0.98,SC
143266437.0,3804.0,244.0,6.41,FL
143267849.0,824.0,17.0,2.06,NV
143274258.0,9455.0,234.0,2.47,TX
143277913.0,10547.0,334.0,3.17,IL
143281915.0,12042.0,652.0,5.41,FL
143284091.0,1927.0,56.0,2.91,NY
143288175.0,11281.0,269.0,2.38,GA
