Group Name,Group PAC ID, State,Measure Title,Measure Performance Rate,Year
HERITAGE VALLEY MEDICAL GROUP INC,42105678,PA,"Getting timely care, appointments, and information.",63.0,2015
HERITAGE VALLEY MEDICAL GROUP INC,42105678,PA,Between visit communication.,49.0,2015
HERITAGE VALLEY MEDICAL GROUP INC,42105678,PA,Attention to patient medication cost.,27.0,2015
HERITAGE VALLEY MEDICAL GROUP INC,42105678,PA,How well clinicians communicate.,86.0,2015
HERITAGE VALLEY MEDICAL GROUP INC,42105678,PA,Patients' rating of clinicians.,83.0,2015
HERITAGE VALLEY MEDICAL GROUP INC,42105678,PA,Health promotion and education.,59.0,2015
HERITAGE VALLEY MEDICAL GROUP INC,42105678,PA,Courteous and helpful office staff.,83.0,2015
HERITAGE VALLEY MEDICAL GROUP INC,42105678,PA,Clinicians working together for your care.,77.0,2015
MAYO CLINIC HEALTH SYSTEM-OWATONNA,42111981,MN,"Getting timely care, appointments, and information.",42.0,2015
MAYO CLINIC HEALTH SYSTEM-OWATONNA,42111981,MN,Between visit communication.,68.0,2015
MAYO CLINIC HEALTH SYSTEM-OWATONNA,42111981,MN,Attention to patient medication cost.,23.0,2015
MAYO CLINIC HEALTH SYSTEM-OWATONNA,42111981,MN,How well clinicians communicate.,75.0,2015
MAYO CLINIC HEALTH SYSTEM-OWATONNA,42111981,MN,Patients' rating of clinicians.,73.0,2015
MAYO CLINIC HEALTH SYSTEM-OWATONNA,42111981,MN,Health promotion and education.,55.0,2015
MAYO CLINIC HEALTH SYSTEM-OWATONNA,42111981,MN,Courteous and helpful office staff.,76.0,2015
MAYO CLINIC HEALTH SYSTEM-OWATONNA,42111981,MN,Clinicians working together for your care.,74.0,2015
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,42128548,TX,"Getting timely care, appointments, and information.",56.0,2015
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,42128548,TX,Between visit communication.,68.0,2015
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,42128548,TX,Attention to patient medication cost.,20.0,2015
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,42128548,TX,How well clinicians communicate.,83.0,2015
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,42128548,TX,Patients' rating of clinicians.,79.0,2015
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,42128548,TX,Health promotion and education.,64.0,2015
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,42128548,TX,Courteous and helpful office staff.,79.0,2015
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,42128548,TX,Clinicians working together for your care.,72.0,2015
CAROLINAEAST PHYSICIANS,143378117,NC,"Getting timely care, appointments, and information.",64.0,2015
CAROLINAEAST PHYSICIANS,143378117,NC,Between visit communication.,56.0,2015
CAROLINAEAST PHYSICIANS,143378117,NC,Attention to patient medication cost.,31.0,2015
CAROLINAEAST PHYSICIANS,143378117,NC,How well clinicians communicate.,85.0,2015
CAROLINAEAST PHYSICIANS,143378117,NC,Patients' rating of clinicians.,85.0,2015
CAROLINAEAST PHYSICIANS,143378117,NC,Health promotion and education.,57.0,2015
CAROLINAEAST PHYSICIANS,143378117,NC,Courteous and helpful office staff.,85.0,2015
CAROLINAEAST PHYSICIANS,143378117,NC,Clinicians working together for your care.,76.0,2015
"NEWTON WELLESLEY AMBULATORY SERVICES, INC",244133494,MA,"Getting timely care, appointments, and information.",62.0,2015
"NEWTON WELLESLEY AMBULATORY SERVICES, INC",244133494,MA,Between visit communication.,53.0,2015
"NEWTON WELLESLEY AMBULATORY SERVICES, INC",244133494,MA,Attention to patient medication cost.,16.0,2015
"NEWTON WELLESLEY AMBULATORY SERVICES, INC",244133494,MA,How well clinicians communicate.,85.0,2015
"NEWTON WELLESLEY AMBULATORY SERVICES, INC",244133494,MA,Patients' rating of clinicians.,80.0,2015
"NEWTON WELLESLEY AMBULATORY SERVICES, INC",244133494,MA,Health promotion and education.,69.0,2015
"NEWTON WELLESLEY AMBULATORY SERVICES, INC",244133494,MA,Courteous and helpful office staff.,82.0,2015
"NEWTON WELLESLEY AMBULATORY SERVICES, INC",244133494,MA,Clinicians working together for your care.,78.0,2015
W A FOOTE MEMORIAL HOSPITAL INC,244136067,MI,"Getting timely care, appointments, and information.",47.0,2015
W A FOOTE MEMORIAL HOSPITAL INC,244136067,MI,Between visit communication.,58.0,2015
W A FOOTE MEMORIAL HOSPITAL INC,244136067,MI,Attention to patient medication cost.,25.0,2015
W A FOOTE MEMORIAL HOSPITAL INC,244136067,MI,How well clinicians communicate.,,2015
W A FOOTE MEMORIAL HOSPITAL INC,244136067,MI,Patients' rating of clinicians.,75.0,2015
W A FOOTE MEMORIAL HOSPITAL INC,244136067,MI,Health promotion and education.,64.0,2015
W A FOOTE MEMORIAL HOSPITAL INC,244136067,MI,Courteous and helpful office staff.,,2015
W A FOOTE MEMORIAL HOSPITAL INC,244136067,MI,Clinicians working together for your care.,,2015
LOUISIANA STATE UNIVERSITY SCHOOL OF MEDICINE IN NEW ORLEANS FACULTY G,244136448,LA,"Getting timely care, appointments, and information.",51.0,2015
LOUISIANA STATE UNIVERSITY SCHOOL OF MEDICINE IN NEW ORLEANS FACULTY G,244136448,LA,Between visit communication.,63.0,2015
LOUISIANA STATE UNIVERSITY SCHOOL OF MEDICINE IN NEW ORLEANS FACULTY G,244136448,LA,Attention to patient medication cost.,27.0,2015
LOUISIANA STATE UNIVERSITY SCHOOL OF MEDICINE IN NEW ORLEANS FACULTY G,244136448,LA,How well clinicians communicate.,,2015
LOUISIANA STATE UNIVERSITY SCHOOL OF MEDICINE IN NEW ORLEANS FACULTY G,244136448,LA,Patients' rating of clinicians.,,2015
LOUISIANA STATE UNIVERSITY SCHOOL OF MEDICINE IN NEW ORLEANS FACULTY G,244136448,LA,Health promotion and education.,64.0,2015
LOUISIANA STATE UNIVERSITY SCHOOL OF MEDICINE IN NEW ORLEANS FACULTY G,244136448,LA,Courteous and helpful office staff.,,2015
LOUISIANA STATE UNIVERSITY SCHOOL OF MEDICINE IN NEW ORLEANS FACULTY G,244136448,LA,Clinicians working together for your care.,73.0,2015
"NETWORK HEALTH SYSTEM, INC.",244142420,WI,"Getting timely care, appointments, and information.",53.0,2015
"NETWORK HEALTH SYSTEM, INC.",244142420,WI,Between visit communication.,53.0,2015
"NETWORK HEALTH SYSTEM, INC.",244142420,WI,Attention to patient medication cost.,21.0,2015
"NETWORK HEALTH SYSTEM, INC.",244142420,WI,How well clinicians communicate.,79.0,2015
"NETWORK HEALTH SYSTEM, INC.",244142420,WI,Patients' rating of clinicians.,78.0,2015
"NETWORK HEALTH SYSTEM, INC.",244142420,WI,Health promotion and education.,63.0,2015
"NETWORK HEALTH SYSTEM, INC.",244142420,WI,Courteous and helpful office staff.,81.0,2015
"NETWORK HEALTH SYSTEM, INC.",244142420,WI,Clinicians working together for your care.,73.0,2015
EAST CAROLINA UNIVERSITY,244143246,NC,"Getting timely care, appointments, and information.",65.0,2015
EAST CAROLINA UNIVERSITY,244143246,NC,Between visit communication.,56.0,2015
EAST CAROLINA UNIVERSITY,244143246,NC,Attention to patient medication cost.,34.0,2015
EAST CAROLINA UNIVERSITY,244143246,NC,How well clinicians communicate.,82.0,2015
EAST CAROLINA UNIVERSITY,244143246,NC,Patients' rating of clinicians.,80.0,2015
EAST CAROLINA UNIVERSITY,244143246,NC,Health promotion and education.,60.0,2015
EAST CAROLINA UNIVERSITY,244143246,NC,Courteous and helpful office staff.,78.0,2015
EAST CAROLINA UNIVERSITY,244143246,NC,Clinicians working together for your care.,77.0,2015
SANFORD CLINIC,244143824,SD,"Getting timely care, appointments, and information.",66.0,2015
SANFORD CLINIC,244143824,SD,Between visit communication.,63.0,2015
SANFORD CLINIC,244143824,SD,Attention to patient medication cost.,27.0,2015
SANFORD CLINIC,244143824,SD,How well clinicians communicate.,80.0,2015
SANFORD CLINIC,244143824,SD,Patients' rating of clinicians.,78.0,2015
SANFORD CLINIC,244143824,SD,Health promotion and education.,63.0,2015
SANFORD CLINIC,244143824,SD,Courteous and helpful office staff.,90.0,2015
SANFORD CLINIC,244143824,SD,Clinicians working together for your care.,79.0,2015
