Group Name,Group PAC ID,State,Measure Title,Measure Performance Rate,Year
HERITAGE VALLEY MEDICAL GROUP INC,42105678,PA,"Getting timely care, appointments, and information.",64.0,2016
HERITAGE VALLEY MEDICAL GROUP INC,42105678,PA,Between visit communication.,53.0,2016
HERITAGE VALLEY MEDICAL GROUP INC,42105678,PA,Attention to patient medicine cost.,27.0,2016
HERITAGE VALLEY MEDICAL GROUP INC,42105678,PA,How well clinicians communicate.,89.0,2016
HERITAGE VALLEY MEDICAL GROUP INC,42105678,PA,Patients' rating of clinicians.,87.0,2016
HERITAGE VALLEY MEDICAL GROUP INC,42105678,PA,Health promotion and education.,60.0,2016
HERITAGE VALLEY MEDICAL GROUP INC,42105678,PA,Courteous and helpful office staff.,84.0,2016
HERITAGE VALLEY MEDICAL GROUP INC,42105678,PA,Clinicians working together for your care.,77.0,2016
NORTHBAY HEALTHCARE GROUP,42122244,CA,"Getting timely care, appointments, and information.",57.0,2016
NORTHBAY HEALTHCARE GROUP,42122244,CA,Between visit communication.,58.0,2016
NORTHBAY HEALTHCARE GROUP,42122244,CA,Attention to patient medicine cost.,21.0,2016
NORTHBAY HEALTHCARE GROUP,42122244,CA,How well clinicians communicate.,82.0,2016
NORTHBAY HEALTHCARE GROUP,42122244,CA,Patients' rating of clinicians.,81.0,2016
NORTHBAY HEALTHCARE GROUP,42122244,CA,Health promotion and education.,60.0,2016
NORTHBAY HEALTHCARE GROUP,42122244,CA,Courteous and helpful office staff.,85.0,2016
NORTHBAY HEALTHCARE GROUP,42122244,CA,Clinicians working together for your care.,70.0,2016
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,42128548,TX,"Getting timely care, appointments, and information.",61.0,2016
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,42128548,TX,Between visit communication.,65.0,2016
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,42128548,TX,Attention to patient medicine cost.,24.0,2016
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,42128548,TX,How well clinicians communicate.,82.0,2016
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,42128548,TX,Patients' rating of clinicians.,79.0,2016
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,42128548,TX,Health promotion and education.,70.0,2016
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,42128548,TX,Courteous and helpful office staff.,79.0,2016
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,42128548,TX,Clinicians working together for your care.,70.0,2016
"ENCOMPASS MEDICAL GROUP, PA",143116053,MO,"Getting timely care, appointments, and information.",51.0,2016
"ENCOMPASS MEDICAL GROUP, PA",143116053,MO,Between visit communication.,59.0,2016
"ENCOMPASS MEDICAL GROUP, PA",143116053,MO,Attention to patient medicine cost.,36.0,2016
"ENCOMPASS MEDICAL GROUP, PA",143116053,MO,How well clinicians communicate.,81.0,2016
"ENCOMPASS MEDICAL GROUP, PA",143116053,MO,Patients' rating of clinicians.,80.0,2016
"ENCOMPASS MEDICAL GROUP, PA",143116053,MO,Health promotion and education.,64.0,2016
"ENCOMPASS MEDICAL GROUP, PA",143116053,MO,Courteous and helpful office staff.,77.0,2016
"ENCOMPASS MEDICAL GROUP, PA",143116053,MO,Clinicians working together for your care.,75.0,2016
WHITE RIVER HEALTH SYSTEM INC,143134270,AR,"Getting timely care, appointments, and information.",50.0,2016
WHITE RIVER HEALTH SYSTEM INC,143134270,AR,Between visit communication.,57.0,2016
WHITE RIVER HEALTH SYSTEM INC,143134270,AR,Attention to patient medicine cost.,26.0,2016
WHITE RIVER HEALTH SYSTEM INC,143134270,AR,How well clinicians communicate.,76.0,2016
WHITE RIVER HEALTH SYSTEM INC,143134270,AR,Patients' rating of clinicians.,67.0,2016
WHITE RIVER HEALTH SYSTEM INC,143134270,AR,Health promotion and education.,49.0,2016
WHITE RIVER HEALTH SYSTEM INC,143134270,AR,Courteous and helpful office staff.,86.0,2016
WHITE RIVER HEALTH SYSTEM INC,143134270,AR,Clinicians working together for your care.,63.0,2016
CAROLINAEAST PHYSICIANS,143378117,NC,"Getting timely care, appointments, and information.",66.0,2016
CAROLINAEAST PHYSICIANS,143378117,NC,Between visit communication.,52.0,2016
CAROLINAEAST PHYSICIANS,143378117,NC,Attention to patient medicine cost.,22.0,2016
CAROLINAEAST PHYSICIANS,143378117,NC,How well clinicians communicate.,83.0,2016
CAROLINAEAST PHYSICIANS,143378117,NC,Patients' rating of clinicians.,83.0,2016
CAROLINAEAST PHYSICIANS,143378117,NC,Health promotion and education.,58.0,2016
CAROLINAEAST PHYSICIANS,143378117,NC,Courteous and helpful office staff.,88.0,2016
CAROLINAEAST PHYSICIANS,143378117,NC,Clinicians working together for your care.,75.0,2016
FAMILY PRACTICE CENTER PC,244124212,PA,"Getting timely care, appointments, and information.",67.0,2016
FAMILY PRACTICE CENTER PC,244124212,PA,Between visit communication.,58.0,2016
FAMILY PRACTICE CENTER PC,244124212,PA,Attention to patient medicine cost.,24.0,2016
FAMILY PRACTICE CENTER PC,244124212,PA,How well clinicians communicate.,85.0,2016
FAMILY PRACTICE CENTER PC,244124212,PA,Patients' rating of clinicians.,84.0,2016
FAMILY PRACTICE CENTER PC,244124212,PA,Health promotion and education.,61.0,2016
FAMILY PRACTICE CENTER PC,244124212,PA,Courteous and helpful office staff.,84.0,2016
FAMILY PRACTICE CENTER PC,244124212,PA,Clinicians working together for your care.,80.0,2016
"NEWTON WELLESLEY AMBULATORY SERVICES, INC",244133494,MA,"Getting timely care, appointments, and information.",65.0,2016
"NEWTON WELLESLEY AMBULATORY SERVICES, INC",244133494,MA,Between visit communication.,51.0,2016
"NEWTON WELLESLEY AMBULATORY SERVICES, INC",244133494,MA,Attention to patient medicine cost.,26.0,2016
"NEWTON WELLESLEY AMBULATORY SERVICES, INC",244133494,MA,How well clinicians communicate.,85.0,2016
"NEWTON WELLESLEY AMBULATORY SERVICES, INC",244133494,MA,Patients' rating of clinicians.,83.0,2016
