Group Name,Group PAC ID,Measure Performance Rate,Measure Title,State,Year
HERITAGE VALLEY MEDICAL GROUP INC,42105678,64.0,"Getting timely care, appointments, and information.",PA,2016
HERITAGE VALLEY MEDICAL GROUP INC,42105678,53.0,Between visit communication.,PA,2016
HERITAGE VALLEY MEDICAL GROUP INC,42105678,27.0,Attention to patient medicine cost.,PA,2016
HERITAGE VALLEY MEDICAL GROUP INC,42105678,89.0,How well clinicians communicate.,PA,2016
HERITAGE VALLEY MEDICAL GROUP INC,42105678,87.0,Patients' rating of clinicians.,PA,2016
HERITAGE VALLEY MEDICAL GROUP INC,42105678,60.0,Health promotion and education.,PA,2016
HERITAGE VALLEY MEDICAL GROUP INC,42105678,84.0,Courteous and helpful office staff.,PA,2016
HERITAGE VALLEY MEDICAL GROUP INC,42105678,77.0,Clinicians working together for your care.,PA,2016
NORTHBAY HEALTHCARE GROUP,42122244,57.0,"Getting timely care, appointments, and information.",CA,2016
NORTHBAY HEALTHCARE GROUP,42122244,58.0,Between visit communication.,CA,2016
NORTHBAY HEALTHCARE GROUP,42122244,21.0,Attention to patient medicine cost.,CA,2016
NORTHBAY HEALTHCARE GROUP,42122244,82.0,How well clinicians communicate.,CA,2016
NORTHBAY HEALTHCARE GROUP,42122244,81.0,Patients' rating of clinicians.,CA,2016
NORTHBAY HEALTHCARE GROUP,42122244,60.0,Health promotion and education.,CA,2016
NORTHBAY HEALTHCARE GROUP,42122244,85.0,Courteous and helpful office staff.,CA,2016
NORTHBAY HEALTHCARE GROUP,42122244,70.0,Clinicians working together for your care.,CA,2016
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,42128548,61.0,"Getting timely care, appointments, and information.",TX,2016
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,42128548,65.0,Between visit communication.,TX,2016
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,42128548,24.0,Attention to patient medicine cost.,TX,2016
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,42128548,82.0,How well clinicians communicate.,TX,2016
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,42128548,79.0,Patients' rating of clinicians.,TX,2016
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,42128548,70.0,Health promotion and education.,TX,2016
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,42128548,79.0,Courteous and helpful office staff.,TX,2016
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,42128548,70.0,Clinicians working together for your care.,TX,2016
"ENCOMPASS MEDICAL GROUP, PA",143116053,51.0,"Getting timely care, appointments, and information.",MO,2016
"ENCOMPASS MEDICAL GROUP, PA",143116053,59.0,Between visit communication.,MO,2016
"ENCOMPASS MEDICAL GROUP, PA",143116053,36.0,Attention to patient medicine cost.,MO,2016
"ENCOMPASS MEDICAL GROUP, PA",143116053,81.0,How well clinicians communicate.,MO,2016
"ENCOMPASS MEDICAL GROUP, PA",143116053,80.0,Patients' rating of clinicians.,MO,2016
"ENCOMPASS MEDICAL GROUP, PA",143116053,64.0,Health promotion and education.,MO,2016
