Organization legal name or 'doing business as' name,Group PAC ID,State,Measure Identifier,Measure Title,Measure Performance Rate,Denominator Count,Footnote
HERITAGE VALLEY MEDICAL GROUP INC,0042105678,PA,CAHPS_GRP_1,"Getting timely care, appointments, and information.",64,319,
HERITAGE VALLEY MEDICAL GROUP INC,0042105678,PA,CAHPS_GRP_10,Between visit communication.,53,193,
HERITAGE VALLEY MEDICAL GROUP INC,0042105678,PA,CAHPS_GRP_12,Attention to patient medicine cost.,27,328,
HERITAGE VALLEY MEDICAL GROUP INC,0042105678,PA,CAHPS_GRP_2,How well clinicians communicate.,89,318,
HERITAGE VALLEY MEDICAL GROUP INC,0042105678,PA,CAHPS_GRP_3,Patients' rating of clinicians.,87,304,
HERITAGE VALLEY MEDICAL GROUP INC,0042105678,PA,CAHPS_GRP_5,Health promotion and education.,60,344,
HERITAGE VALLEY MEDICAL GROUP INC,0042105678,PA,CAHPS_GRP_8,Courteous and helpful office staff.,84,307,
HERITAGE VALLEY MEDICAL GROUP INC,0042105678,PA,CAHPS_GRP_9,Clinicians working together for your care.,77,344,
NORTHBAY HEALTHCARE GROUP,0042122244,CA,CAHPS_GRP_1,"Getting timely care, appointments, and information.",57,255,
NORTHBAY HEALTHCARE GROUP,0042122244,CA,CAHPS_GRP_10,Between visit communication.,58,159,
NORTHBAY HEALTHCARE GROUP,0042122244,CA,CAHPS_GRP_12,Attention to patient medicine cost.,21,267,
NORTHBAY HEALTHCARE GROUP,0042122244,CA,CAHPS_GRP_2,How well clinicians communicate.,82,254,
NORTHBAY HEALTHCARE GROUP,0042122244,CA,CAHPS_GRP_3,Patients' rating of clinicians.,81,236,
NORTHBAY HEALTHCARE GROUP,0042122244,CA,CAHPS_GRP_5,Health promotion and education.,60,284,
NORTHBAY HEALTHCARE GROUP,0042122244,CA,CAHPS_GRP_8,Courteous and helpful office staff.,85,240,
NORTHBAY HEALTHCARE GROUP,0042122244,CA,CAHPS_GRP_9,Clinicians working together for your care.,70,283,
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,0042128548,TX,CAHPS_GRP_1,"Getting timely care, appointments, and information.",61,246,
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,0042128548,TX,CAHPS_GRP_10,Between visit communication.,65,170,
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,0042128548,TX,CAHPS_GRP_12,Attention to patient medicine cost.,24,264,
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,0042128548,TX,CAHPS_GRP_2,How well clinicians communicate.,82,243,
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,0042128548,TX,CAHPS_GRP_3,Patients' rating of clinicians.,79,244,
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,0042128548,TX,CAHPS_GRP_5,Health promotion and education.,70,278,
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,0042128548,TX,CAHPS_GRP_8,Courteous and helpful office staff.,79,245,
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,0042128548,TX,CAHPS_GRP_9,Clinicians working together for your care.,70,277,
"ENCOMPASS MEDICAL GROUP, PA",0143116053,MO,CAHPS_GRP_1,"Getting timely care, appointments, and information.",51,368,
"ENCOMPASS MEDICAL GROUP, PA",0143116053,MO,CAHPS_GRP_10,Between visit communication.,59,223,
"ENCOMPASS MEDICAL GROUP, PA",0143116053,MO,CAHPS_GRP_12,Attention to patient medicine cost.,36,389,
"ENCOMPASS MEDICAL GROUP, PA",0143116053,MO,CAHPS_GRP_2,How well clinicians communicate.,81,367,
"ENCOMPASS MEDICAL GROUP, PA",0143116053,MO,CAHPS_GRP_3,Patients' rating of clinicians.,80,366,
"ENCOMPASS MEDICAL GROUP, PA",0143116053,MO,CAHPS_GRP_5,Health promotion and education.,64,397,
"ENCOMPASS MEDICAL GROUP, PA",0143116053,MO,CAHPS_GRP_8,Courteous and helpful office staff.,77,369,
"ENCOMPASS MEDICAL GROUP, PA",0143116053,MO,CAHPS_GRP_9,Clinicians working together for your care.,75,395,
WHITE RIVER HEALTH SYSTEM INC,0143134270,AR,CAHPS_GRP_1,"Getting timely care, appointments, and information.",50,270,
WHITE RIVER HEALTH SYSTEM INC,0143134270,AR,CAHPS_GRP_10,Between visit communication.,57,137,
WHITE RIVER HEALTH SYSTEM INC,0143134270,AR,CAHPS_GRP_12,Attention to patient medicine cost.,26,260,
WHITE RIVER HEALTH SYSTEM INC,0143134270,AR,CAHPS_GRP_2,How well clinicians communicate.,76,269,
WHITE RIVER HEALTH SYSTEM INC,0143134270,AR,CAHPS_GRP_3,Patients' rating of clinicians.,67,263,
WHITE RIVER HEALTH SYSTEM INC,0143134270,AR,CAHPS_GRP_5,Health promotion and education.,49,278,
WHITE RIVER HEALTH SYSTEM INC,0143134270,AR,CAHPS_GRP_8,Courteous and helpful office staff.,86,263,
WHITE RIVER HEALTH SYSTEM INC,0143134270,AR,CAHPS_GRP_9,Clinicians working together for your care.,63,277,
CAROLINAEAST PHYSICIANS,0143378117,NC,CAHPS_GRP_1,"Getting timely care, appointments, and information.",66,371,
CAROLINAEAST PHYSICIANS,0143378117,NC,CAHPS_GRP_10,Between visit communication.,52,266,
CAROLINAEAST PHYSICIANS,0143378117,NC,CAHPS_GRP_12,Attention to patient medicine cost.,22,362,
CAROLINAEAST PHYSICIANS,0143378117,NC,CAHPS_GRP_2,How well clinicians communicate.,83,369,
CAROLINAEAST PHYSICIANS,0143378117,NC,CAHPS_GRP_3,Patients' rating of clinicians.,83,350,
CAROLINAEAST PHYSICIANS,0143378117,NC,CAHPS_GRP_5,Health promotion and education.,58,374,
CAROLINAEAST PHYSICIANS,0143378117,NC,CAHPS_GRP_8,Courteous and helpful office staff.,88,353,
CAROLINAEAST PHYSICIANS,0143378117,NC,CAHPS_GRP_9,Clinicians working together for your care.,75,377,
FAMILY PRACTICE CENTER PC,0244124212,PA,CAHPS_GRP_1,"Getting timely care, appointments, and information.",67,356,
FAMILY PRACTICE CENTER PC,0244124212,PA,CAHPS_GRP_10,Between visit communication.,58,255,
FAMILY PRACTICE CENTER PC,0244124212,PA,CAHPS_GRP_12,Attention to patient medicine cost.,24,361,
FAMILY PRACTICE CENTER PC,0244124212,PA,CAHPS_GRP_2,How well clinicians communicate.,85,356,
FAMILY PRACTICE CENTER PC,0244124212,PA,CAHPS_GRP_3,Patients' rating of clinicians.,84,358,
FAMILY PRACTICE CENTER PC,0244124212,PA,CAHPS_GRP_5,Health promotion and education.,61,386,
FAMILY PRACTICE CENTER PC,0244124212,PA,CAHPS_GRP_8,Courteous and helpful office staff.,84,364,
FAMILY PRACTICE CENTER PC,0244124212,PA,CAHPS_GRP_9,Clinicians working together for your care.,80,380,
"NEWTON WELLESLEY AMBULATORY SERVICES, INC",0244133494,MA,CAHPS_GRP_1,"Getting timely care, appointments, and information.",65,322,
"NEWTON WELLESLEY AMBULATORY SERVICES, INC",0244133494,MA,CAHPS_GRP_10,Between visit communication.,51,205,
"NEWTON WELLESLEY AMBULATORY SERVICES, INC",0244133494,MA,CAHPS_GRP_12,Attention to patient medicine cost.,26,328,
"NEWTON WELLESLEY AMBULATORY SERVICES, INC",0244133494,MA,CAHPS_GRP_2,How well clinicians communicate.,85,321,
"NEWTON WELLESLEY AMBULATORY SERVICES, INC",0244133494,MA,CAHPS_GRP_3,Patients' rating of clinicians.,83,320,
"NEWTON WELLESLEY AMBULATORY SERVICES, INC",0244133494,MA,CAHPS_GRP_5,Health promotion and education.,69,360,
"NEWTON WELLESLEY AMBULATORY SERVICES, INC",0244133494,MA,CAHPS_GRP_8,Courteous and helpful office staff.,81,321,
"NEWTON WELLESLEY AMBULATORY SERVICES, INC",0244133494,MA,CAHPS_GRP_9,Clinicians working together for your care.,79,358,
W A FOOTE MEMORIAL HOSPITAL INC,0244136067,MI,CAHPS_GRP_1,"Getting timely care, appointments, and information.",55,290,
W A FOOTE MEMORIAL HOSPITAL INC,0244136067,MI,CAHPS_GRP_10,Between visit communication.,62,195,
W A FOOTE MEMORIAL HOSPITAL INC,0244136067,MI,CAHPS_GRP_12,Attention to patient medicine cost.,28,306,
W A FOOTE MEMORIAL HOSPITAL INC,0244136067,MI,CAHPS_GRP_2,How well clinicians communicate.,83,290,
W A FOOTE MEMORIAL HOSPITAL INC,0244136067,MI,CAHPS_GRP_3,Patients' rating of clinicians.,80,280,
W A FOOTE MEMORIAL HOSPITAL INC,0244136067,MI,CAHPS_GRP_5,Health promotion and education.,68,321,
W A FOOTE MEMORIAL HOSPITAL INC,0244136067,MI,CAHPS_GRP_8,Courteous and helpful office staff.,79,285,
W A FOOTE MEMORIAL HOSPITAL INC,0244136067,MI,CAHPS_GRP_9,Clinicians working together for your care.,74,321,
"NETWORK HEALTH SYSTEM, INC.",0244142420,WI,CAHPS_GRP_1,"Getting timely care, appointments, and information.",53,274,
"NETWORK HEALTH SYSTEM, INC.",0244142420,WI,CAHPS_GRP_10,Between visit communication.,51,161,
"NETWORK HEALTH SYSTEM, INC.",0244142420,WI,CAHPS_GRP_12,Attention to patient medicine cost.,24,315,
"NETWORK HEALTH SYSTEM, INC.",0244142420,WI,CAHPS_GRP_2,How well clinicians communicate.,77,275,
"NETWORK HEALTH SYSTEM, INC.",0244142420,WI,CAHPS_GRP_3,Patients' rating of clinicians.,76,274,
"NETWORK HEALTH SYSTEM, INC.",0244142420,WI,CAHPS_GRP_5,Health promotion and education.,66,328,
"NETWORK HEALTH SYSTEM, INC.",0244142420,WI,CAHPS_GRP_8,Courteous and helpful office staff.,79,276,
"NETWORK HEALTH SYSTEM, INC.",0244142420,WI,CAHPS_GRP_9,Clinicians working together for your care.,74,326,
SANFORD CLINIC,0244143824,SD,CAHPS_GRP_1,"Getting timely care, appointments, and information.",65,359,
